element,protons,nuetrons,electrons,NueConfigNumb,ProtElectConfigNumb,periodic x,periodic y,ProtElectConfig,NueConfig,half,halfCat,magicPro,magicNue
francium,87,134,87,61,621410629,1,7,[Rn] 7s1,[Rn] 7s2 5f14 6d10 7p6 8s2  5g9,288,3,0,0
cobalt,27,29,27,327,32102,9,4,[Ar] 4s2 3d7,[Ar] 4s2 3d10 4p2,6676128,5,0,0
cobalt,27,33,27,327,32102,9,4,[Ar] 4s2 3d7,[Ar] 4s2 3d10 4p2,166238870,5,0,0
technetium,43,53,43,425,51,7,5,[Kr] 5s2 4d5,[Xe] 6s1,371520,5,0,0
roentgenium,111,171,111,62149,6.21E+13,11,7,[Rn] 7s2 5f14 6d9,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d10,120,3,0,0
chlorine,17,15,17,225,226,17,3,[Ne] 3s2 3p5,[Ne] 3s2 3p6,2.98E-01,1,0,0
gold,79,116,79,52149,6214106,11,6,[Xe] 6s2 4f14 5d9,[Rn] 7s2 5f14 6d10 7p6,16079040,5,0,0
arsenic,33,41,33,32103,424,15,4,[Ar] 4s2 3d10 4p3,[Kr] 5s2 4d4,1537920,5,0,0
meitnerium,109,169,109,62147,6.21E+12,9,7,[Rn] 7s2 5f14 6d7,[Rn] 7s2 5f14 6d10 7p6 8s2  5g18 6f14 7d8,4,2,0,0
iridium,77,117,77,52147,6214103,9,6,[Xe] 6s2 4f14 5d7,[Rn] 7s2 5f14 6d10 7p3,69480,4,0,0
molybdenum,42,57,42,424,42106,6,5,[Kr] 5s2 4d4,[Kr] 5s2 4d10 5p6,2.37E+05,5,0,0
